DATE,JDAY,TA,RN,ST
2018-01-05 22,5.91666666666667,1.5,-999,堡林
2018-01-05 23,5.95833333333333,1.8,-999,堡林
2018-01-06 00,6,1.8,-999,堡林
2018-01-06 01,6.04166666666667,1.6,-999,堡林
2018-01-06 02,6.08333333333333,1.8,-999,堡林
2018-01-06 03,6.125,2,-999,堡林
2018-01-06 04,6.16666666666667,1.9,-999,堡林
2018-01-06 05,6.20833333333333,1.4,-999,堡林
2018-01-06 06,6.25,-0.2,-999,堡林
2018-01-06 07,6.29166666666667,-0.9,-999,堡林
2018-01-06 08,6.33333333333333,-1,-999,堡林
2018-01-06 09,6.375,0.7,-999,堡林
2018-01-06 10,6.41666666666667,2.4,-999,堡林
2018-01-06 11,6.45833333333333,3.6,-999,堡林
2018-01-06 12,6.5,5.3,-999,堡林
2018-01-06 13,6.54166666666667,6.4,-999,堡林
2018-01-06 14,6.58333333333333,6.8,-999,堡林
2018-01-06 15,6.625,6.3,-999,堡林
2018-01-06 16,6.66666666666667,6.1,-999,堡林
2018-01-06 17,6.70833333333333,5.1,-999,堡林
2018-01-06 18,6.75,3.8,-999,堡林
2018-01-06 19,6.79166666666667,2.3,-999,堡林
2018-01-06 20,6.83333333333333,1.4,-999,堡林
2018-01-06 21,6.875,0.9,-999,堡林
2018-01-06 22,6.91666666666667,0,-999,堡林
2018-01-06 23,6.95833333333333,-0.2,-999,堡林
2018-01-07 00,7,-0.7,-999,堡林
2018-01-07 01,7.04166666666667,-0.7,-999,堡林
2018-01-07 02,7.08333333333333,-1.5,-999,堡林
2018-01-07 03,7.125,-1.5,-999,堡林
2018-01-07 04,7.16666666666667,-1.5,-999,堡林
2018-01-07 05,7.20833333333333,-1.6,-999,堡林
2018-01-07 06,7.25,-1.7,-999,堡林
2018-01-07 07,7.29166666666667,-1.4,-999,堡林
2018-01-07 08,7.33333333333333,-1.3,-999,堡林
2018-01-07 09,7.375,-0.4,-999,堡林
2018-01-07 10,7.41666666666667,0.2,-999,堡林
2018-01-07 11,7.45833333333333,1.4,-999,堡林
2018-01-07 12,7.5,2.4,-999,堡林
2018-01-07 13,7.54166666666667,3.1,-999,堡林
2018-01-07 14,7.58333333333333,5.1,-999,堡林
2018-01-07 15,7.625,6.4,-999,堡林
2018-01-07 16,7.66666666666667,6.6,-999,堡林
2018-01-07 17,7.70833333333333,6.7,-999,堡林
2018-01-07 18,7.75,6.2,-999,堡林
2018-01-07 19,7.79166666666667,6.1,-999,堡林
2018-01-07 20,7.83333333333333,6.2,-999,堡林
2018-01-07 21,7.875,4.9,-999,堡林
2018-01-07 22,7.91666666666667,4.3,-999,堡林
2018-01-07 23,7.95833333333333,4.1,-999,堡林
2018-01-08 00,8,4.2,-999,堡林
2018-01-08 01,8.04166666666667,4.3,-999,堡林
2018-01-08 02,8.08333333333333,4,-999,堡林
2018-01-08 03,8.125,3.8,-999,堡林
2018-01-08 04,8.16666666666667,4,-999,堡林
2018-01-08 05,8.20833333333333,4.1,-999,堡林
2018-01-08 06,8.25,4.4,-999,堡林
2018-01-08 07,8.29166666666667,3.9,-999,堡林
2018-01-08 08,8.33333333333333,3.3,-999,堡林
2018-01-08 09,8.375,3.2,-999,堡林
2018-01-08 10,8.41666666666667,3.9,-999,堡林
2018-01-08 11,8.45833333333333,4.6,-999,堡林
2018-01-08 12,8.5,4.6,-999,堡林
2018-01-08 13,8.54166666666667,4.4,-999,堡林
2018-01-08 14,8.58333333333333,4.8,-999,堡林
2018-01-08 15,8.625,3.8,-999,堡林
2018-01-08 16,8.66666666666667,3.6,-999,堡林
2018-01-08 17,8.70833333333333,3.4,-999,堡林
2018-01-08 18,8.75,3.4,-999,堡林
2018-01-08 19,8.79166666666667,2.7,-999,堡林
2018-01-08 20,8.83333333333333,2.2,-999,堡林
2018-01-08 21,8.875,3,-999,堡林
2018-01-08 22,8.91666666666667,3.2,-999,堡林
2018-01-08 23,8.95833333333333,3,-999,堡林
2018-01-09 00,9,2.7,-999,堡林
2018-01-09 01,9.04166666666667,2.1,-999,堡林
2018-01-09 02,9.08333333333333,0.3,-999,堡林
2018-01-09 03,9.125,0.4,-999,堡林
2018-01-09 04,9.16666666666667,-0.1,-999,堡林
2018-01-09 05,9.20833333333333,-1.3,-999,堡林
2018-01-09 06,9.25,-1,-999,堡林
2018-01-09 07,9.29166666666667,-1.7,-999,堡林
2018-01-09 08,9.33333333333333,-0.5,-999,堡林
2018-01-09 09,9.375,-0.5,-999,堡林
2018-01-09 10,9.41666666666667,-0.9,-999,堡林
2018-01-09 11,9.45833333333333,0,-999,堡林
2018-01-09 12,9.5,0.2,-999,堡林
2018-01-09 13,9.54166666666667,0.8,-999,堡林
2018-01-09 14,9.58333333333333,0.4,-999,堡林
2018-01-09 15,9.625,0.6,-999,堡林
2018-01-09 16,9.66666666666667,-0.1,-999,堡林
2018-01-09 17,9.70833333333333,-0.1,-999,堡林
2018-01-09 18,9.75,0,-999,堡林
2018-01-09 19,9.79166666666667,-0.3,-999,堡林
2018-01-09 20,9.83333333333333,-0.2,-999,堡林
2018-01-09 21,9.875,-0.1,-999,堡林
2018-01-09 22,9.91666666666667,-0.1,-999,堡林
2018-01-09 23,9.95833333333333,-0.7,-999,堡林
2018-01-10 00,10,-0.1,-999,堡林
2018-01-10 01,10.0416666666667,-0.6,-999,堡林
2018-01-10 02,10.0833333333333,-0.4,-999,堡林
2018-01-10 03,10.125,-0.6,-999,堡林
2018-01-10 04,10.1666666666667,-0.5,-999,堡林
2018-01-10 05,10.2083333333333,-0.6,-999,堡林
2018-01-10 06,10.25,-1,-999,堡林
2018-01-10 07,10.2916666666667,-1.2,-999,堡林
2018-01-10 08,10.3333333333333,-1.4,-999,堡林
2018-01-10 09,10.375,-2.9,-999,堡林
2018-01-10 10,10.4166666666667,-3,-999,堡林
2018-01-10 11,10.4583333333333,-3,-999,堡林
2018-01-10 12,10.5,-3.5,-999,堡林
2018-01-10 13,10.5416666666667,-2.6,-999,堡林
2018-01-10 14,10.5833333333333,-3.7,-999,堡林
2018-01-10 15,10.625,-3.8,-999,堡林
2018-01-10 16,10.6666666666667,-3.5,-999,堡林
2018-01-10 17,10.7083333333333,-3.8,-999,堡林
2018-01-10 18,10.75,-4,-999,堡林
2018-01-10 19,10.7916666666667,-4,-999,堡林
2018-01-10 20,10.8333333333333,-4,-999,堡林
2018-01-10 21,10.875,-4,-999,堡林
2018-01-10 22,10.9166666666667,-4.4,-999,堡林
2018-01-10 23,10.9583333333333,-4.6,-999,堡林
2018-01-11 00,11,-5,-999,堡林
2018-01-11 01,11.0416666666667,-5.1,-999,堡林
2018-01-11 02,11.0833333333333,-5.5,-999,堡林
2018-01-11 03,11.125,-5.5,-999,堡林
2018-01-11 04,11.1666666666667,-5.5,-999,堡林
2018-01-11 05,11.2083333333333,-6.5,-999,堡林
2018-01-11 06,11.25,-7.7,-999,堡林
2018-01-11 07,11.2916666666667,-8.1,-999,堡林
2018-01-11 08,11.3333333333333,-8.4,-999,堡林
2018-01-11 09,11.375,-7.7,-999,堡林
2018-01-11 10,11.4166666666667,-6.7,-999,堡林
2018-01-11 11,11.4583333333333,-5.6,-999,堡林
2018-01-11 12,11.5,-5.4,-999,堡林
2018-01-11 13,11.5416666666667,-4.2,-999,堡林
2018-01-11 14,11.5833333333333,-3.7,-999,堡林
2018-01-11 15,11.625,-2.6,-999,堡林
2018-01-11 16,11.6666666666667,-3.7,-999,堡林
2018-01-11 17,11.7083333333333,-4.5,-999,堡林
2018-01-11 18,11.75,-5.4,-999,堡林
2018-01-11 19,11.7916666666667,-5.8,-999,堡林
2018-01-11 20,11.8333333333333,-6,-999,堡林
2018-01-11 21,11.875,-6.4,-999,堡林
2018-01-11 22,11.9166666666667,-7.1,-999,堡林
2018-01-11 23,11.9583333333333,-7.2,-999,堡林
2018-01-12 00,12,-7.7,-999,堡林
2018-01-12 01,12.0416666666667,-8.1,-999,堡林
2018-01-12 02,12.0833333333333,-8.2,-999,堡林
2018-01-12 03,12.125,-8.7,-999,堡林
2018-01-12 04,12.1666666666667,-9,-999,堡林
2018-01-12 05,12.2083333333333,-9.3,-999,堡林
2018-01-12 06,12.25,-9.7,-999,堡林
2018-01-12 07,12.2916666666667,-9.8,-999,堡林
2018-01-12 08,12.3333333333333,-10.1,-999,堡林
2018-01-12 09,12.375,-8.9,-999,堡林
2018-01-12 10,12.4166666666667,-7,-999,堡林
2018-01-12 11,12.4583333333333,-5.7,-999,堡林
2018-01-12 12,12.5,-4.7,-999,堡林
2018-01-12 13,12.5416666666667,-3.5,-999,堡林
2018-01-12 14,12.5833333333333,-2.7,-999,堡林
2018-01-12 15,12.625,-2.3,-999,堡林
2018-01-12 16,12.6666666666667,-2.5,-999,堡林
2018-01-12 17,12.7083333333333,-3.2,-999,堡林
2018-01-12 18,12.75,-5,-999,堡林
2018-01-12 19,12.7916666666667,-5.8,-999,堡林
2018-01-12 20,12.8333333333333,-6.2,-999,堡林
2018-01-12 21,12.875,-5.3,-999,堡林
2018-01-12 22,12.9166666666667,-5.9,-999,堡林
2018-01-12 23,12.9583333333333,-7,-999,堡林
2018-01-13 00,13,-6.6,-999,堡林
2018-01-13 01,13.0416666666667,-6.4,-999,堡林
2018-01-13 02,13.0833333333333,-6.1,-999,堡林
2018-01-13 03,13.125,-6.1,-999,堡林
2018-01-13 04,13.1666666666667,-6.6,-999,堡林
2018-01-13 05,13.2083333333333,-7,-999,堡林
2018-01-13 06,13.25,-6.7,-999,堡林
2018-01-13 07,13.2916666666667,-6.7,-999,堡林
2018-01-13 08,13.3333333333333,-6.7,-999,堡林
2018-01-13 09,13.375,-5.7,-999,堡林
2018-01-13 10,13.4166666666667,-4,-999,堡林
2018-01-13 11,13.4583333333333,-2.2,-999,堡林
2018-01-13 12,13.5,-0.3,-999,堡林
2018-01-13 13,13.5416666666667,0.7,-999,堡林
2018-01-13 14,13.5833333333333,2.2,-999,堡林
2018-01-13 15,13.625,3.7,-999,堡林
2018-01-13 16,13.6666666666667,4.4,-999,堡林
2018-01-13 17,13.7083333333333,3.6,-999,堡林
2018-01-13 18,13.75,2.3,-999,堡林
2018-01-13 19,13.7916666666667,1.4,-999,堡林
2018-01-13 20,13.8333333333333,0,-999,堡林
2018-01-13 21,13.875,-0.2,-999,堡林
2018-01-13 22,13.9166666666667,-0.4,-999,堡林
2018-01-13 23,13.9583333333333,-1.2,-999,堡林
2018-01-14 00,14,-1.9,-999,堡林
2018-01-14 01,14.0416666666667,-2.2,-999,堡林
2018-01-14 02,14.0833333333333,-2.7,-999,堡林
2018-01-14 03,14.125,-3.3,-999,堡林
2018-01-14 04,14.1666666666667,-4,-999,堡林
2018-01-14 05,14.2083333333333,-4.1,-999,堡林
2018-01-14 06,14.25,-4.1,-999,堡林
2018-01-14 07,14.2916666666667,-3.7,-999,堡林
2018-01-14 08,14.3333333333333,-3.8,-999,堡林
2018-01-14 09,14.375,-3.4,-999,堡林
2018-01-14 10,14.4166666666667,-3.1,-999,堡林
2018-01-14 11,14.4583333333333,0.5,-999,堡林
2018-01-14 12,14.5,3.2,-999,堡林
2018-01-14 13,14.5416666666667,5.1,-999,堡林
2018-01-14 14,14.5833333333333,7.4,-999,堡林
2018-01-14 15,14.625,6.9,-999,堡林
2018-01-14 16,14.6666666666667,6.7,-999,堡林
2018-01-14 17,14.7083333333333,6.8,-999,堡林
2018-01-14 18,14.75,4.7,-999,堡林
2018-01-14 19,14.7916666666667,4.4,-999,堡林
2018-01-14 20,14.8333333333333,4,-999,堡林
2018-01-14 21,14.875,3.7,-999,堡林
2018-01-14 22,14.9166666666667,3,-999,堡林
2018-01-14 23,14.9583333333333,2.8,-999,堡林
2018-01-15 00,15,2.8,-999,堡林
2018-01-15 01,15.0416666666667,2.8,-999,堡林
2018-01-15 02,15.0833333333333,2.7,-999,堡林
2018-01-15 03,15.125,2.5,-999,堡林
2018-01-15 04,15.1666666666667,2.3,-999,堡林
2018-01-15 05,15.2083333333333,2.2,-999,堡林
2018-01-15 06,15.25,2.5,-999,堡林
2018-01-15 07,15.2916666666667,1.8,-999,堡林
2018-01-15 08,15.3333333333333,1.4,-999,堡林
2018-01-15 09,15.375,2.6,-999,堡林
2018-01-15 10,15.4166666666667,4.3,-999,堡林
2018-01-15 11,15.4583333333333,6.5,-999,堡林
2018-01-15 12,15.5,8.1,-999,堡林
2018-01-15 13,15.5416666666667,9.7,-999,堡林
2018-01-15 14,15.5833333333333,10.6,-999,堡林
2018-01-15 15,15.625,10.4,-999,堡林
2018-01-15 16,15.6666666666667,10.7,-999,堡林
2018-01-15 17,15.7083333333333,9.8,-999,堡林
2018-01-15 18,15.75,8,-999,堡林
2018-01-15 19,15.7916666666667,7,-999,堡林
2018-01-15 20,15.8333333333333,5.7,-999,堡林
2018-01-15 21,15.875,5.4,-999,堡林
2018-01-15 22,15.9166666666667,4.8,-999,堡林
2018-01-15 23,15.9583333333333,4,-999,堡林
2018-01-16 00,16,2.9,-999,堡林
2018-01-16 01,16.0416666666667,2,-999,堡林
2018-01-16 02,16.0833333333333,2.3,-999,堡林
2018-01-16 03,16.125,2.7,-999,堡林
2018-01-16 04,16.1666666666667,2.8,-999,堡林
2018-01-16 05,16.2083333333333,3.4,-999,堡林
2018-01-16 06,16.25,2.8,-999,堡林
2018-01-16 07,16.2916666666667,3.3,-999,堡林
2018-01-16 08,16.3333333333333,3.8,-999,堡林
2018-01-16 09,16.375,3.3,-999,堡林
2018-01-16 10,16.4166666666667,4,-999,堡林
2018-01-16 11,16.4583333333333,4.3,-999,堡林
2018-01-16 12,16.5,5,-999,堡林
2018-01-16 13,16.5416666666667,6.2,-999,堡林
2018-01-16 14,16.5833333333333,6.8,-999,堡林
2018-01-16 15,16.625,6.8,-999,堡林
2018-01-16 16,16.6666666666667,7.6,-999,堡林
2018-01-16 17,16.7083333333333,8,-999,堡林
2018-01-16 18,16.75,7,-999,堡林
2018-01-16 19,16.7916666666667,6.3,-999,堡林
2018-01-16 20,16.8333333333333,6,-999,堡林
2018-01-16 21,16.875,5.5,-999,堡林
2018-01-16 22,16.9166666666667,5.6,-999,堡林
2018-01-16 23,16.9583333333333,5.6,-999,堡林
2018-01-17 00,17,5.6,-999,堡林
2018-01-17 01,17.0416666666667,5.8,-999,堡林
2018-01-17 02,17.0833333333333,5.5,-999,堡林
2018-01-17 03,17.125,5,-999,堡林
2018-01-17 04,17.1666666666667,5.2,-999,堡林
2018-01-17 05,17.2083333333333,4.8,-999,堡林
2018-01-17 06,17.25,4.8,-999,堡林
2018-01-17 07,17.2916666666667,4.4,-999,堡林
2018-01-17 08,17.3333333333333,4.3,-999,堡林
2018-01-17 09,17.375,4.5,-999,堡林
2018-01-17 10,17.4166666666667,6,-999,堡林
2018-01-17 11,17.4583333333333,6.2,-999,堡林
2018-01-17 12,17.5,6.2,-999,堡林
2018-01-17 13,17.5416666666667,7.1,-999,堡林
2018-01-17 14,17.5833333333333,7.9,-999,堡林
2018-01-17 15,17.625,7.6,-999,堡林
2018-01-17 16,17.6666666666667,8.3,-999,堡林
2018-01-17 17,17.7083333333333,7.2,-999,堡林
2018-01-17 18,17.75,6.2,-999,堡林
2018-01-17 19,17.7916666666667,6.4,-999,堡林
2018-01-17 20,17.8333333333333,5.9,-999,堡林
2018-01-17 21,17.875,5.9,-999,堡林
2018-01-17 22,17.9166666666667,5.6,-999,堡林
2018-01-17 23,17.9583333333333,4.3,-999,堡林
2018-01-18 00,18,4.5,-999,堡林
2018-01-18 01,18.0416666666667,4.4,-999,堡林
2018-01-18 02,18.0833333333333,4.4,-999,堡林
2018-01-18 03,18.125,4.2,-999,堡林
2018-01-18 04,18.1666666666667,4.3,-999,堡林
2018-01-18 05,18.2083333333333,4.4,-999,堡林
2018-01-18 06,18.25,4.7,-999,堡林
2018-01-18 07,18.2916666666667,4.5,-999,堡林
2018-01-18 08,18.3333333333333,4.1,-999,堡林
2018-01-18 09,18.375,4.7,-999,堡林
2018-01-18 10,18.4166666666667,6.1,-999,堡林
2018-01-18 11,18.4583333333333,7.1,-999,堡林
2018-01-18 12,18.5,8.4,-999,堡林
2018-01-18 13,18.5416666666667,9,-999,堡林
2018-01-18 14,18.5833333333333,9.1,-999,堡林
2018-01-18 15,18.625,9,-999,堡林
2018-01-18 16,18.6666666666667,8.2,-999,堡林
2018-01-18 17,18.7083333333333,6.7,-999,堡林
2018-01-18 18,18.75,5.3,-999,堡林
2018-01-18 19,18.7916666666667,4,-999,堡林
2018-01-18 20,18.8333333333333,3.5,-999,堡林
2018-01-18 21,18.875,3.4,-999,堡林
2018-01-18 22,18.9166666666667,2.4,-999,堡林
2018-01-18 23,18.9583333333333,1.6,-999,堡林
2018-01-19 00,19,1.3,-999,堡林
2018-01-19 01,19.0416666666667,1,-999,堡林
2018-01-19 02,19.0833333333333,0.6,-999,堡林
2018-01-19 03,19.125,0.6,-999,堡林
2018-01-19 04,19.1666666666667,-0.4,-999,堡林
2018-01-19 05,19.2083333333333,-0.4,-999,堡林
2018-01-19 06,19.25,-1.1,-999,堡林
2018-01-19 07,19.2916666666667,-1.1,-999,堡林
2018-01-19 08,19.3333333333333,-1.6,-999,堡林
